Packet Number ,Time
1,0
2,0.001104246
3,0.007636533
4,0.04084105
5,0.1190455
6,0.2933205
7,0.5346015
8,0.569395
9,0.5912533
10,0.6079489
11,0.6224055
12,0.8707001
13,1.131696
14,1.165843
15,1.304658
16,1.521946
17,1.56793
18,1.800335
19,1.853723
20,2.08076
21,2.142648
22,2.171252
23,2.198424
24,2.257088
25,2.260724
26,2.426278
27,2.496376
28,2.520445
29,2.545344
30,2.592759
31,2.601888
32,2.61673
33,2.648021
34,2.725686
35,2.968446
36,2.984962
37,3.330157
38,3.426411
39,3.469986
40,3.544601
41,3.564154
42,3.662081
43,3.672188
44,3.758526
45,3.86595
46,3.991022
47,4.289657
48,4.382677
49,4.538181
50,4.578748
51,4.610441
52,4.712641
53,4.720062
54,4.763039
55,4.840606
56,4.942257
57,5.08532
58,5.187514
59,5.240584
60,5.370033
61,5.458596
62,5.61707
63,5.649011
64,5.868112
65,5.959054
66,6.026939
67,6.219597
68,6.328951
69,6.633021
70,6.799474
71,6.899047
72,7.241091
73,7.442957
74,7.620323
75,7.647805
76,7.651704
77,7.658933
78,7.824978
79,7.82597
80,7.890901
81,7.892012
82,7.901281
83,7.919606
84,8.051055
85,8.157704
86,8.208443
87,8.26022
88,8.33335
89,8.570302
90,8.649038
91,8.731566
92,8.742301
93,8.765166
94,8.962755
95,9.217509
96,9.296658
97,9.387907
98,9.532284
99,9.597076
100,9.665728
101,9.904756
102,10.13658
103,10.21359
104,10.26496
105,10.28967
106,10.31002
107,10.33894
108,10.56571
109,10.57566
110,11.01101
111,11.09124
112,11.09862
113,11.12997
114,11.22509
115,11.31095
116,11.40843
117,11.43343
118,11.50178
119,11.71703
120,11.9011
121,12.41182
122,12.49942
123,12.57738
124,12.82549
125,12.96022
126,13.10543
127,13.18222
128,13.23819
129,13.28015
130,13.30038
131,13.39122
132,13.41425
133,13.43878
134,13.58311
135,13.62021
136,13.6999
137,13.82984
138,13.86172
139,13.88511
140,13.90806
141,14.00097
142,14.11691
143,14.15203
144,14.22855
145,14.31424
146,14.49408
147,14.56952
148,14.71495
149,14.80498
150,14.8529
151,15.17354
152,15.19294
153,15.52767
154,15.7361
155,15.75175
156,16.00335
157,16.07376
158,16.09612
159,16.23543
160,16.28971
161,16.37654
162,16.61436
163,16.68877
164,16.92223
165,16.98072
166,17.06463
167,17.07252
168,17.11958
169,17.12927
170,17.13906
171,17.21894
172,17.70518
173,17.70633
174,17.87743
175,18.1688
176,18.28878
177,18.48685
178,18.59074
179,18.66559
180,18.70121
181,18.78133
182,18.81128
183,18.91892
184,18.94602
185,18.96626
186,19.2363
187,19.4065
188,19.49483
189,19.60894
190,19.65281
191,19.78215
192,19.85856
193,19.95261
194,20.13994
195,20.24728
196,20.32643
197,20.53518
198,20.55856
199,20.6099
200,20.63248
201,20.71837
202,20.73027
203,20.74035
204,20.79411
205,20.85643
206,20.8799
207,21.01919
208,21.04296
209,21.1448
210,21.48911
211,21.69301
212,21.727
213,21.82166
214,21.91199
215,22.06524
216,22.24897
217,22.30591
218,22.38389
