Packet number,Time
1,0.0
2,0.001104246
3,0.251104246
4,0.257636533
5,0.29084105
6,0.54084105
7,0.79084105
8,1.04084105
9,1.29084105
10,1.3690455
11,1.6190455
12,1.8690455
13,2.0433205
14,2.2933205
15,2.5433205
16,2.7846015
17,3.0346015
18,3.2846015
19,3.319395
20,3.569395
21,3.819395
22,3.8412533
23,4.0912533
24,4.3412533
25,4.5912533
26,4.8412533
27,5.0912533
28,5.1079489
29,5.3579489
30,5.6079489
31,5.8579489
32,6.1079489
33,6.3579489
34,6.6079489
35,6.8579489
36,7.1079489
37,7.3579489
38,7.6079489
39,7.8579489
40,7.8724055
41,8.1224055
42,8.3707001
43,8.6207001
44,8.8707001
45,9.1207001
46,9.3707001
47,9.6207001
48,9.8707001
49,10.1207001
50,10.3707001
51,10.631696
52,10.881696
53,11.131696
54,11.381696
55,11.631696
56,11.881696
57,12.131696
58,12.381696
59,12.415842999999999
60,12.665842999999999
61,12.804658
62,13.054658
63,13.304658
64,13.554658
65,13.804658
66,14.054658
67,14.304658
68,14.554658
69,14.804658
70,15.054658
71,15.304658
72,15.554658
73,15.771946
74,15.81793
75,16.06793
76,16.31793
77,16.56793
78,16.81793
79,17.06793
80,17.31793
81,17.56793
82,17.81793
83,18.06793
84,18.300335
85,18.550335
86,18.800335
87,19.050335
88,19.103723000000002
89,19.330759999999998
90,19.580759999999998
91,19.830759999999998
92,20.080759999999998
93,20.330759999999998
94,20.580759999999998
95,20.830759999999998
96,21.080759999999998
97,21.330759999999998
98,21.392648
99,21.642648
100,21.892648
101,22.142648
102,22.392648
103,22.642648
104,22.892648
105,23.142648
106,23.171252
107,23.198424
108,23.448424
109,23.698424
110,23.757088
111,24.007088
112,24.257088
113,24.260724
114,24.510724
115,24.676278
116,24.746375999999998
117,24.996375999999998
118,25.246375999999998
119,25.496375999999998
120,25.520445000000002
121,25.770445000000002
122,26.020445000000002
123,26.045344
124,26.295344
125,26.545344
126,26.795344
127,26.842759
128,26.851888000000002
129,26.86673
130,27.11673
131,27.36673
132,27.61673
133,27.648021
134,27.898021
135,28.148021
136,28.225686
137,28.468446
138,28.718446
139,28.968446
140,29.218446
141,29.234962
142,29.580157
143,29.676411
144,29.926411
145,30.176411
146,30.426411
147,30.676411
148,30.926411
149,30.969986
150,31.219986
151,31.469986
152,31.719986
153,31.969986
154,32.219986
155,32.294601
156,32.314154
157,32.412081
158,32.422188
159,32.508526
160,32.61595
161,33.36595
162,33.61595
163,33.741022
164,34.491022
165,34.789657
166,34.882677
167,35.132677
168,35.382677
169,36.132677
170,36.382677
171,36.632677
172,37.382677
173,37.632677
174,38.382677
175,38.632677
176,38.788181
177,39.538181
178,39.578748000000004
179,39.828748000000004
180,40.078748000000004
181,40.110441
182,40.360441
183,41.110441
184,41.360441
185,42.110441
186,42.212641
187,42.462641
188,43.212641
189,43.220062
190,43.970062
191,44.013039
192,44.763039
193,44.840606
194,44.942257
195,45.192257
196,45.942257
197,46.192257
198,46.335319999999996
199,46.585319999999996
200,47.335319999999996
201,47.585319999999996
202,48.335319999999996
203,48.437514
204,49.187514
205,49.437514
206,49.490584
207,49.620033
208,50.370033
209,50.458596
210,50.708596
211,51.458596
212,51.61707
213,52.36707
214,53.11707
215,53.149011
216,53.368111999999996
217,53.618111999999996
218,54.368111999999996
219,55.118111999999996
220,55.868111999999996
221,55.959054
222,56.209054
223,56.276939
224,57.026939
225,57.276939
226,57.469597
227,58.219597
228,58.328951
229,59.078951
230,59.383021
231,59.549474000000004
232,60.299474000000004
233,60.399046999999996
234,60.741091
235,61.491091
236,62.241091
237,62.442957
238,63.192957
239,63.370323
240,64.120323
241,64.870323
242,65.120323
243,65.870323
244,65.897805
245,65.901704
246,65.908933
247,66.158933
248,66.324978
249,66.32597
250,66.390901
251,67.140901
252,67.142012
253,67.392012
254,67.401281
255,67.419606
256,68.169606
257,68.919606
258,69.05105499999999
259,69.80105499999999
260,69.907704
261,70.657704
262,70.708443
263,71.458443
264,72.208443
265,72.26022
266,72.51022
267,72.58335
268,72.820302
269,72.89903799999999
270,72.981566
271,72.992301
272,73.015166
273,73.765166
274,74.515166
275,74.712755
276,75.462755
277,75.717509
278,75.79665800000001
279,76.54665800000001
280,76.637907
281,77.387907
282,78.137907
283,78.887907
284,79.637907
285,80.387907
286,80.532284
287,81.282284
288,81.532284
289,81.597076
290,82.347076
291,82.415728
292,83.165728
293,83.40475599999999
294,84.15475599999999
295,84.38658000000001
296,85.13658000000001
297,85.88658000000001
298,85.96359
299,86.01496
300,86.03967
301,86.06002000000001
302,86.81002000000001
303,87.56002000000001
304,87.58894000000001
305,88.33894000000001
306,88.56571
307,89.31571
308,89.32566
309,89.76101
310,90.51101
311,91.26101
312,92.01101
313,92.76101
314,92.84124
315,92.84862
316,93.59862
317,94.34862
318,95.09862
319,95.84862
320,95.87997
321,96.62997
322,96.87997
323,96.97509
324,97.06094999999999
325,97.15843
326,97.90843
327,98.65843
328,99.40843
329,100.15843
330,100.90843
331,101.15843
332,101.18343
333,101.93343
334,102.00178
335,102.21703
336,102.4011
337,102.91182
338,103.66182
339,103.91182
340,104.66182
341,104.74942
342,105.49942
343,106.24942
344,106.99942
345,107.07738
346,107.32549
347,107.46021999999999
348,107.60543
349,107.68222
350,107.73819
351,108.48819
352,108.53014999999999
353,108.55038
354,108.64122
355,109.39122
356,110.14122
357,110.16425
358,110.18878000000001
359,110.93878000000001
360,111.68878000000001
361,112.43878000000001
362,113.18878000000001
363,113.93878000000001
364,114.08311
365,114.83311
366,114.87021
367,114.9499
368,115.6999
369,116.4499
370,116.57984
371,116.61171999999999
372,117.36171999999999
373,117.38511
374,118.13511
375,118.15806
376,118.25097
377,119.00097
378,119.11691
379,119.86691
